kanji,frame,key word,components,on_reading,kun_reading,stroke_count,jlpt
弾,2081,bullet,bow; simple; owl; rice field; brains; ten; needle,ダン; タン,ひ.く; -ひ.き; はず.む; たま; はじ.く; はじ.ける; ただ.す; はじ.きゆみ,12,N1
桜,2082,cherry tree,tree; wood; owl; woman,オウ; ヨウ,さくら,10,N1
獣,2083,animal,owl; rice field; brains; one; mouth; chihuahua; dog; large; drop,ジュウ,けもの; けだもの,16,N1
脳,2084,brain,moon; month; flesh; part of the body; owl; villain; sheaf; shovel,ノウ; ドウ,のうずる,11,N2
悩,2085,trouble,Freud; state of mind; owl; villain; sheaf; shovel,ノウ,なや.む; なや.ます; なや.ましい; なやみ,10,N2
厳,2086,stern,owl; cliff; daring; spike; ear; taskmaster,ゲン; ゴン,おごそ.か; きび.しい; いか.めしい; いつくし,17,N1
鎖,2087,chain,metal; gold; small; shellfish; clam; oyster; eye; animal legs; eight,サ,くさり; とざ.す,18,N1
挙,2088,raise,owl; tool; hand,キョ,あ.げる; あ.がる; こぞ.る,10,N1
誉,2089,reputation,owl; tool; say; words; keitai; mouth,ヨ,ほま.れ; ほ.める,13,N1
猟,2090,game hunting,pack of wild dogs; anemometer; owl; wind; cornstalk,リョウ; レフ,かり; か.る,11,N1
鳥,2091,bird,white; dove; one; tail feathers,チョウ,とり,11,N4
鳴,2092,chirp,mouth; bird,メイ,な.く; な.る; な.らす,14,N3
鶴,2093,crane,turkey house; bird,カク,つる,21,N1
烏,2094,crow,drop; mouth; one; tail feathers,ウ; オ,からす; いずくんぞ; なんぞ,10
蔦,2095,vine,flowers; bird,チョウ,つた,14,N1
鳩,2096,pigeon,nine; baseball; bird,キュウ; ク,はと; あつ.める,13,N1
鶏,2097,chicken,claw; vulture; husband; bird,ケイ,にわとり; とり,19,N1
島,2098,island,bird; mountain,トウ,しま,10,N2
暖,2099,warmth,sun; day; migrating ducks; claw; vulture; one; friend,ダン; ノン,あたた.か; あたた.かい; あたた.まる; あたた.める,13,N1
媛,2100,beautiful woman,woman; migrating ducks; claw; vulture; one; friend,エン,ひめ,12,N1
援,2101,abet,finger; fingers; migrating ducks; claw; vulture; one; friend,エン,,12,N1
緩,2102,slacken,thread; spiderman; migrating ducks; claw; vulture; one; friend,カン,ゆる.い; ゆる.やか; ゆる.む; ゆる.める,15,N1
属,2103,belong,flag; gnats; drop; insect; belt,ゾク; ショク,さかん; つく; やから,12,N1
嘱,2104,entrust,mouth; belong; flag; gnats; drop; insect; belt,ショク,しょく.する; たの.む,15,N1
偶,2105,accidentally,person; talking cricket; brains; insect; belt,グウ,たま,11,N3
遇,2106,interview,talking cricket; brains; insect; belt; road,グウ,あ.う,12,N1
愚,2107,foolish,talking cricket; brains; insect; belt; heart,グ,おろ.か,13,N1
隅,2108,corner,pinnacle; parthenon; acropolis; talking cricket; brains; insect; belt,グウ,すみ,12,N2
逆,2109,inverted,mountain goat; horns; mountain; road,ギャク; ゲキ,さか; さか.さ; さか.らう,9,N2
塑,2110,model,first day of the month; mountain goat; horns; mountain; moon; month; flesh; part of the body; soil; dirt; ground,ソ,でく,13,N1
遡,2111,go upstream,first day of the month; mountain goat; horns; mountain; moon; month; flesh; part of the body; road,ソ; サク,さかのぼ.る,13
岡,2112,Mount,mount; glass canopy; hood; mountain goat; horns; mountain,コウ,おか,8
鋼,2113,steel,metal; gold; mount,コウ,はがね,16,N1
綱,2114,hawser,thread; spiderman; mount,コウ,つな,14,N1
剛,2115,sturdy,mount; sword; sabre; saber,ゴウ,,10,N1
缶,2116,tin can,noon; sign of the horse; shovel,カン,かま,6,N2
陶,2117,pottery,pinnacle; parthenon; acropolis; bound up; tin can; noon; sign of the horse; shovel,トウ,,11,N1
揺,2118,swing,finger; fingers; condor; claw; vulture; king; mountain,ヨウ,ゆ.れる; ゆ.る; ゆ.らぐ; ゆ.るぐ; ゆ.する; ゆ.さぶる; ゆ.すぶる; うご.く,12,N1
謡,2119,Noh chanting,noh chanting; say; words; keitai; mouth; condor; claw; vulture; king; mountain,ヨウ,うた.い; うた.う,16,N1
鬱,2120,gloom,,ウツ,うっ.する; しげ.る; ふさ.ぐ,29
就,2121,concerning,capital; tall; top hat; mouth; small; little; understandably; chihuahua with one human leg,シュウ; ジュ,つ.く; つ.ける,12,N1
蹴,2122,kick,wooden leg; mouth; stop; footprint; concerning; capital; tall; top hat; mouth; small; little; understandably; chihuahua with one human leg,シュク; シュウ,け.る,19
懇,2123,sociable,skunk; silver; heart,コン,ねんご.ろ,17,N1
墾,2124,groundbreaking,skunk; silver; soil; dirt; ground,コン,,16,N1
貌,2125,countenance,skunk; badger; white; dove; human legs,ボウ; バク,かたち; かたどる,14
免,2126,excuse,village stocks; rabbit; bound up; human legs,メン,まぬか.れる; まぬが.れる,8,N1
逸,2127,elude,deviate; village stocks; rabbit; bound up; human legs; road,イツ,そ.れる; そ.らす; はぐ.れる,11,N1
晩,2128,nightfall,sun; day; village stocks; rabbit; bound up; human legs,バン,,12,N3
勉,2129,exertion,village stocks; rabbit; bound up; human legs; power; muscle; arnold,ベン,つと.める,10,N4
象,2130,elephant,colour; color; bound up; sow; pig,ショウ; ゾウ,かたど.る,12,N2
像,2131,statue,person; elephant; colour; color; bound up; sow; pig,ゾウ,,14,N2
馬,2132,horse,team of horses,バ,うま; うま-; ま,10,N3
駒,2133,pony,team of horses; phrase; bound up; mouth,ク,こま,15,N1
験,2134,verification,team of horses; awl; fit; meeting; umbrella; mouth; person,ケン; ゲン,あかし; しるし; ため.す; ためし,18,N4
騎,2135,equestrian,team of horses; strange; large; St. Bernard; street; nail; spike; mouth,キ,,18,N1
駐,2136,parking,stop-over; team of horses; candlestick; lord; drop; king; jewel; ball,チュウ,,15,N2
駆,2137,drive,team of horses; ward; box; sheaf,ク,か.ける; か.る,14,N1
駅,2138,station,team of horses; shaku-hachi; flag; stick,エキ,,14,N4
騒,2139,boisterous,team of horses; crotch; insect,ソウ,さわ.ぐ; うれい; さわ.がしい,18,N1
駄,2140,burdensome,team of horses; plump; large; St. Bernard; drop,ダ; タ,,14,N1
驚,2141,wonder,awe; flowers; phrase; bound up; mouth; taskmaster; team of horses,キョウ,おどろ.く; おどろ.かす,22,N1
篤,2142,fervent,bamboo; team of horses,トク,あつ.い,16,N1
罵,2143,insult,eye; cross-eyed; net; team of horses,バ,ののし.る,15
騰,2144,inflation,edam; moon; month; flesh; part of the body; quarter; team of horses,トウ,,20,N1
虎,2145,tiger,magic wand; augury; cliff; hook; diced; seven; human legs,コ,とら,8,N1
虜,2146,captive,tiger; male; rice field; brains; power; muscle; arnold,リョ; ロ,とりこ; とりく,13,N1
膚,2147,skin,tiger; stomach; rice field; brains; moon; month; flesh; part of the body,フ,はだ,15,N2
虚,2148,void,tiger; row,キョ; コ,むな.しい; うつ.ろ,11,N1
戯,2149,frolic,void; tiger; row; fiesta,ギ; ゲ,たわむ.れる; ざ.れる; じゃ.れる,15,N1
虞,2150,uneasiness,tiger; give; mouth; chair; tool,グ,おそれ; おもんぱか.る; はか.る; うれ.える; あざむ.く; あやま.る; のぞ.む; たの.しむ,13,N1
慮,2151,prudence,tiger; think; rice field; brains; heart,リョ,おもんぱく.る; おもんぱか.る,15,N1
劇,2152,drama,tiger; sow; pig; sword; sabre; saber,ゲキ,,15,N2
虐,2153,tyrannize,tiger; one; box,ギャク,しいた.げる,9,N1
鹿,2154,deer,cave; antlers; compare; spoon; sitting on the ground,ロク,しか; か,11,N1
麓,2155,foot of a mountain,grove; tree; wood; deer; cave; antlers; compare; spoon; sitting on the ground,ロク,ふもと,19
薦,2156,recommend,flowers; deer; cave; antlers; slingshot; catapult; tail feathers,セン,すす.める,16,N1
慶,2157,jubilation,deer; cave; antlers; crown; heart; walking legs,ケイ,よろこ.び,15,N1
麗,2158,lovely,one; ceiling; mediocre; deer; cave; antlers; compare,レイ,うるわ.しい; うら.らか,19,N1
熊,2159,bear,ability; elbow; moon; month; flesh; part of the body; spoon; sitting on the ground; oven-fire; barbecue,ユウ,くま,14,N1
能,2160,ability,elbow; moon; month; flesh; part of the body; spoon; sitting on the ground,ノウ,よ.く,10,N3
態,2161,attitude,ability; elbow; moon; month; flesh; part of the body; spoon; sitting on the ground; heart,タイ,わざ.と,14,N1
寅,2162,sign of the tiger,house; caterpillar; one; ceiling; sprout; shoot; animal legs; eight,イン,とら,11,N1
演,2163,performance,water; water droplets; water pistol; sign of the tiger; house; caterpillar; one; ceiling; sprout; shoot; animal legs; eight,エン,,14,N3
辰,2164,sign of the dragon,cliff; two; hairpin; safety-pin,シン; ジン,たつ,7,N1
辱,2165,embarrass,sign of the dragon; cliff; two; hairpin; safety-pin; glue,ジョク,はずかし.める,10,N1
震,2166,quake,rain; weather; sign of the dragon; cliff; two; hairpin; safety-pin,シン,ふる.う; ふる.える,15,N2
振,2167,shake,finger; fingers; sign of the dragon; cliff; two; hairpin; safety-pin,シン,ふ.る; ぶ.る; ふ.り; -ぶ.り; ふ.るう,10,N1
娠,2168,with child,woman; sign of the dragon; cliff; two; hairpin; safety-pin,シン,,10,N1
唇,2169,lips,sign of the dragon; cliff; two; hairpin; safety-pin; mouth,シン,くちびる,10,N1
農,2170,agriculture,bend; sign of the dragon; cliff; two; hairpin; safety-pin,ノウ,,13,N2
濃,2171,concentrated,water; water droplets; water pistol; agriculture; bend; sign of the dragon; cliff; two; hairpin; safety-pin,ノウ,こ.い,16,N2
送,2172,send off,escort; golden calf; horns; heavens; road,ソウ,おく.る,9,N4
関,2173,connection,gates; golden calf; horns; heavens,カン,せき; -ぜき; かか.わる; からくり; かんぬき,14,N3
咲,2174,blossom,mouth; golden calf; horns; heavens,ショウ,さ.く; -ざき,9,N2
鬼,2175,ghost,oni; drop; brains; rice field; human legs; elbow,キ,おに; おに-,10,N1
醜,2176,ugly,whiskey bottle; ghost; oni; drop; brains; rice field; human legs; elbow,シュウ,みにく.い; しこ,17,N1
魂,2177,soul,rising cloud; two; elbow; wall; ghost; oni; drop; brains; rice field; human legs; elbow,コン,たましい; たま,14,N1
魔,2178,witch,hemp; cliff; grove; tree; wood; ghost; oni; drop; brains; rice field; human legs; elbow,マ,,21,N1
魅,2179,fascination,ghost; oni; drop; brains; rice field; human legs; elbow; not yet; one; tree; wood,ミ,,15,N1
塊,2180,clod,soil; dirt; ground; ghost; oni; drop; brains; rice field; human legs; elbow,カイ; ケ,かたまり; つちくれ,13,N1
襲,2181,attack,old dragon; vase; stand up; moon; month; flesh; part of the body; slingshot; catapult; snake; self; three; cloth; clothes; clothing; garment; dragon*,シュウ,おそ.う; かさ.ね,22,N1
嚇,2182,upbraid,menacing; mouth; incandescent; red,カク,おど.かす,17,N1
朕,2183,majestic plural,moon; month; flesh; part of the body; golden calf; horns; heavens,チン,,10,N1
雰,2184,atmosphere,rain; weather; part,フン,,12,N1
箇,2185,item,bamboo; harden; pent in; old; tombstone; gravestone; church; ten; needle; mouth,カ; コ,,14,N1
錬,2186,tempering,metal; gold; east; tree; wood; sun; day,レン,ね.る,16,N1
遵,2187,abide by,revered; Mother Teresa; chieftain; Molotov cocktail; animal horns; whiskey bottle; glue; road,ジュン,,15,N1
罷,2188,quit,eye; cross-eyed; net; ability; elbow; moon; month; flesh; part of the body; spoon; sitting on the ground,ヒ,まか.り-; や.める,15,N1
屯,2189,barracks,earthworm; drop; shovel; fishhook,トン,,4,N1
且,2190,moreover,shelf; my bookshelves,ショ; ソ; ショウ,か.つ,5,N1
藻,2191,seaweed,flowers; water; water droplets; water pistol; furniture; goods; mouth; tree; wood,ソウ,も,19,N1
隷,2192,slave,samurai; altar; show; two; small; sieve; rake; grains of rice,レイ,したが.う; しもべ,16,N1
癒,2193,healing,sickness; hospital; in the nick of time; meeting of butchers; moon; month; flesh; part of the body; sword; sabre; saber; heart,ユ,い.える; いや.す,18,N1
璽,2194,imperial seal,let it be; noren; one; ceiling; eight; towel; stitching; patchwork quilt; jewel; earring,ジ,,19
潟,2195,lagoon,water; water droplets; water pistol; mortar; tail feathers,セキ,かた; -がた,15,N1
丹,2196,cinnabar,rust colored; ship´s funnel,タン,に,4,N1
丑,2197,sign of the cow,dagger; two,チュウ,うし,4,N1
羞,2198,humiliate,,シュウ,すすめ.る; はじ.る; は.ずかしい,11
卯,2199,sign of the hare,blown eggs,ボウ; モウ,う,5,N1
巳,2200,sign of the snake,mosaic with bit missing,シ,み,3,N1
此,2201,this here,,シ,これ; この; ここ,6
柴,2202,brushwood,,サイ; シ,しば,10
些,2203,whit,,サ; シャ,ち.と; ち.っと; いささか,8
砦,2204,fort,,サイ,とりで,11
髭,2205,beard,,シ,ひげ; くちひげ,16
禽,2206,fowl,,キン,とり; とりこ,13
檎,2207,apple,,キン; ゴン; ゴ,,17
憐,2208,sympathize with,,レン,あわ.れむ; あわ.れ,16
燐,2209,phosphorus,,リン,,17
麟,2210,camelopard,,リン,,24,N1
鱗,2211,scaled,,リン,うろこ; こけ; こけら,24
奄,2212,encompassing,,エン,おお.う; たちまち,8
庵,2213,hermitage,,アン,いおり; いお,11
掩,2214,shrouded,,エン,おお.う,11
悛,2215,make amends,,シュン; セン,あらた.める,10
駿,2216,steed,,シュン; スン,すぐ.れる,17,N1
峻,2217,steep,,シュン,けわ.しい; たか.い,10,N1
竣,2218,complete a job,,ドウ; シュン,わらわ; わらべ; おわ.る,12,N1
犀,2219,rhinoceros,,サイ; セイ,,12
皐,2220,lunar month,,コウ,さつき,11,N1
畷,2221,rice-field footpath,,テツ; テイ; セイ,なわて,13
綴,2222,mend,,テイ; テツ; テチ; ゲツ,と.じる; つづ.る; つづり; すみ.やか,14
鎧,2223,suit of armor,,カイ; ガイ,よろ.う; よろい,18
凱,2224,triumph,,ガイ; カイ,かちどき; やわらぐ,12,N1
呑,2225,quaff,,トン; ドン,の.む,7
韮,2226,leek,,キュウ; ク,にら,12
籤,2227,lottery,,セン,くじ; かずとり,23
懺,2228,penitential,,ザン; サン,くい.る,20
芻,2229,hay,,スウ; シュウ; ス,まぐさ,10
雛,2230,chick,,スウ; ス; ジュ,ひな; ひよこ,18,N1
趨,2231,scurry,,スウ; ソク,しゅ; おもむ.く; はし.る,17
尤,2232,understandably,,ユウ,もっと.も; とが.める,4
厖,2233,immense,,ボウ,おおき.い,9
或,2234,a  (a certain),,ワク; コク; イキ,あ.る; あるい; あるいは,8
兎,2235,rabbit,,ト; ツ,うさぎ,8
也,2236,est,,ヤ; エ,なり; か; また,3,N1
巴,2237,comma-design,,ハ,ともえ; うずまき,4,N1
疋,2238,critters,,ヒキ; ショ; ソ; ヒツ,あし,5
菫,2239,violet,,キン,すみれ,11,N1
曼,2240,mandala,,マン; バン,なが.い,11
云,2241,quote,,ウン,い.う; ここに,4
莫,2242,shalt,,バク; ボ; マク; モ; ナイ,くれ; なか.れ; なし,10
而,2243,and then,,ジ; ニ,しこ.うして; しか.して; しか.も; しか.れども; すなわち; なんじ; しかるに,6
倭,2244,Yamato,,ワ; イ,やまと; したが.う,10,N1
侠,2245,chivalry,,キョウ,きゃん; おとこだて,8
倦,2246,fed up,,ケン,あき.る; あぐ.む; あぐ.ねる; う.む; つか.れる,11
俄,2247,abrupt,,ガ,にわか,9
佃,2248,work a field,,テン; デン,つくだ,7
仔,2249,animal offspring,,シ,こ; た.える,5
仇,2250,foe,,キュウ; グ,あだ; あた; かたき; つれあい,4
伽,2251,look after,,カ; ガ; キャ; ギャ,とぎ,7,N1
儲,2252,make a profit,,チョ,もう.ける; もう.かる; もうけ; たくわ.える,17
僑,2253,emigrant,,キョウ,,14
倶,2254,mate,,グ; ク,とも.に,10
侃,2255,forthright,,カン,つよ.い,8,N1
偲,2256,memorial,,サイ; シ,しの.ぶ,11,N1
侭,2257,as is,,ジン,まま; ことごとく,8
脩,2258,dried meat,,シュウ,おさ.める; なが.い; ほじし,11,N1
倅,2259,my son,,サイ; ソツ; ソチ,せがれ,10
做,2260,make do,,サ; サク; ソ,な.す; つく.る,11
冴,2261,sharp,,ゴ; コ,さ.える; こお.る; ひ.える,7,N1
凋,2262,wilt,,チョウ,しぼ.む,10
凌,2263,pull through,,リョウ,しの.ぐ,10,N1
凛,2264,stately,,リン,きびし.い,15
凧,2265,kite,,,いかのぼり; たこ,5
凪,2266,lull,,,なぎ; な.ぐ,6,N1
夙,2267,earlybird,,シュク,つとに; はやい,6
鳳,2268,phoenix,,ホウ; フウ,,14,N1
剽,2269,menace,,ヒョウ,おびや.かす; さす,13
劉,2270,slaughter,,リュウ; ル,ころ.す,15
剃,2271,shave,,テイ,まい; そ.る; す.る,9
厭,2272,despondent,,エン; オン; アン; オウ; ユウ; ヨウ,いや; あ.きる; いと.う; おさ.える,14
雁,2273,wild goose,,ガン,かり; かりがね,12
贋,2274,counterfeit,,ガン,にせ,19
厨,2275,kitchen,,シュウ; ズ; チュ; チュウ,くりや,12
仄,2276,insinuate,,ソク,ほの.か; ほの-; ほの.めかす; ほの.めく; かたむ.く,4
哨,2277,scout,,ショウ,みはり,10
咎,2278,reprehend,,キュウ; コウ,とが.める; とが,8
囁,2279,whisper,,ショウ,ささや.く,21
喋,2280,chatter,,チョウ; トウ,しゃべ.る; ついば.む,12
嘩,2281,quarrel,,カ; ケ,かまびす.しい,13
噂,2282,gossip,,ソン,うわさ,15
咳,2283,cough,,カイ; ガイ,せ.く; しわぶ.く; せき; しわぶき,9
喧,2284,clamor,,ケン,やかま.しい; かまびす.しい,12
叩,2285,bash,,コウ,たた.く; はた.く; すぎ,5
嘘,2286,fib,,キョ; コ,うそ; ふ.く,14
啄,2287,peck at,,タク; ツク; トク,ついば.む; つつ.く,10,N1
吠,2288,barking,,ハイ; ベイ,ほえ.る; ほ.える,7
吊,2289,dangle,,チョウ,つ.る; つる.す,6
噛,2290,chew,,コウ; ゴウ,か.む; か.じる,15
叶,2291,within my ability,,キョウ,かな.える; かな.う,5,N1
吻,2292,sides of the mouth,,フン; ブン,くちわき; くちさき,7
吃,2293,stammer,,キツ,ども.る,6
噺,2294,spin a tale,,,はなし,16
噌,2295,miso,,ソウ; ショウ; ソ,かまびす.しい,14
邑,2296,city walls,,ユウ,むら,7,N1
呆,2297,dumbfounded,,ホウ,ほけ.る; ぼ.ける; あき.れる; おろか,7
喰,2298,ingest,,,く.う; く.らう,12
埴,2299,clay,,ショク,はに; へな,11
坤,2300,authochthonous,,コン,つち; ひつじさる,8
壕,2301,dugout,,コウ; ゴウ,ほり,17
垢,2302,blemish,,コウ; ク,あか; はじ,9
坦,2303,flat,,タン,たいら,8
埠,2304,wharf,,フ; ホ,つか; はとば,11
堰,2305,dam,,エン,せき; せ.く,12
堵,2306,railing,,ト,かき,11
嬰,2307,suckling infant,,エイ,ふ.れる; みどりご; あかご,17
姦,2308,violate,,カン; ケン,かん.する; かしま.しい; みだら,9
婢,2309,handmaiden,,ヒ,はしため,11
婉,2310,well finished,,エン,うつく.しい; したが.う,11
娼,2311,harlot,,ショウ,あそびめ,11
妓,2312,courtesan,,ギ; キ,わざおぎ; うたいめ,7
娃,2313,fair,,ア; アイ; ワ,うつく.しい,9
姪,2314,niece,,テツ; チツ; ジチ; イツ; イチ,めい; おい,9
嬬,2315,mistress,,ジュ,よわ.い,17
姥,2316,aged woman,,ボ; モ,うば,9
姑,2317,mother-in-law,,コ,しゅうとめ; しゅうと; おば; しばらく,8
姐,2318,young miss,,ソ; シャ,あね; ねえさん,8
嬉,2319,overjoyed,,キ,うれ.しい; たの.しむ,15,N1
孕,2320,expecting,,ヨウ,はら.む,5
孜,2321,assiduous,,シ,つと.める,7
宥,2322,soothe,,ユウ,なだ.める; ゆる.す,9,N1
寓,2323,imply,,グウ; グ; ドウ,ぐう.する; かこつ.ける; よ.せる; よ.る; かりずまい,12
宏,2324,extensive,,コウ,ひろ.い,7,N1
牢,2325,jail,,ロウ,かた.い; ひとや,7
宋,2326,Sung dynasty,,ソウ,,7
宍,2327,venison,,ニク; ジク,しし,7
屠,2328,butchering,,ト; チョ,ほふ.る,11
屁,2329,fart,,ヒ,へ; おなら,7
屑,2330,rubbish,,セツ,くず; いさぎよ.い,10
屡,2331,frequently,,ル,しばしば,12
屍,2332,corpse,,シ,しかばね,9
屏,2333,folding screen,,ヘイ; ビョウ,おお.う; しりぞ.く; びょう.ぶ,9
嵩,2334,high-reaching,,スウ; シュウ,かさ; かさ.む; たか.い,13,N1
崚,2335,rugged mountains,,リョウ,,11,N1
嶺,2336,mountaintop,,レイ; リョウ,みね,17,N1
嵌,2337,fit into,,カン,は.める; は.まる; あな,12
帖,2338,quire,,チョウ; ジョウ,かきもの,8
幡,2339,banner,,マン; ハン; バン; ホン,はた,15
幟,2340,pennant,,シ,のぼり,15
庖,2341,cleaver,,ホウ,くりや,8
廓,2342,licensed quarters,,カク,くるわ; とりで,14
庇,2343,overhang,,ヒ,ひさし; おお.う; かば.う,7
鷹,2344,hawk,,ヨウ; オウ,たか,24,N1
庄,2345,shire,,ショウ; ソ; ソウ; ホウ,,6,N1
廟,2346,tomb sanctuary,,ビョウ; ミョウ,たまや; みたまや; やしろ,15
彊,2347,strengthen,,キョウ; ゴウ,つよ.い,16
弛,2348,loosen,,チ; シ,たる.む; たる.める; たゆ.む; ゆる.む; ゆる.み,6
粥,2349,rice gruel,,イク; シュク; ジュク,かゆ; かい; ひさ.ぐ,12
挽,2350,lathe,,バン,ひ.く,10
撞,2351,bump into,,ドウ; トウ; シュ,つ.く,15
扮,2352,disguise,,フン; ハン; ヘン,ふん.する; やつ.す; よそお.う,7
捏,2353,fabrication,,ネツ; テツ; ネチ,こ.ねる; ね.る; つく.ねる,10
掴,2354,clutch,,カク,つか.む; つか.まえる; つか.まる,11
捺,2355,impress,,ナツ; ダツ,さ.す; お.す,11,N1
掻,2356,scratch,,ソウ,か.く,11
撰,2357,assortment,,サン; セン,せん.する; えら.む; えら.ぶ,15
揃,2358,muster,,セン,そろ.える; そろ.う; そろ.い; き.る,12
捌,2359,deal with,,ハツ; ハチ; ベツ,さば.く; さば.ける; は.け,10
按,2360,press down on,,アン,おさ.える; しら.べる,9
播,2361,disseminate,,ハ; バン; ハン,ま.く,15
揖,2362,collect,,イツ; ユ; シュウ; ユウ,,12
托,2363,receptacle,,タク,たく.する; たの.む,6
捧,2364,devote,,ホウ,ささ.げる,11
撚,2365,twirl,,ネン,よ.る; よ.れる; より; ひね.る,15
挺,2366,counter for tools,,チョウ; テイ,ぬ.く,10
擾,2367,commotion,,ジョウ,みだ.れる; みだ.す; わずら.わしい,18
撫,2368,petting,,ブ; フ,な.でる,15
撒,2369,sprinkle,,サン; サツ,ま.く,15
擢,2370,outstanding,,テキ; タク,ぬ.く; ぬき.んでる,17
摺,2371,rubbing,,ショウ; シュウ; ロウ,す.る; ひだ,14
捷,2372,spoils,,ショウ; ソウ,はや.い,11,N1
抉,2373,gouge out,,ケツ,えぐ.る; こじ.る; くじ.る,7
怯,2374,wince,,キョウ; コウ,ひる.む; おびえ.る; おじる; おび.える; おそ.れる,8
惟,2375,ponder,,イ; ユイ,おも.んみる; これ; おも.うに,11,N1
惚,2376,infatuation,,コツ,ほけ.る; ぼ.ける; ほ.れる,11
怜,2377,quickwitted,,レイ; レン; リョウ,あわ.れむ; さと.い,8,N1
惇,2378,considerate,,シュン; ジュン; トン,あつ.い,11,N1
恰,2379,as if,,コウ; カッ; チョウ; キョウ,あたか.も,9
恢,2380,enlarge,,カイ; ケ,ひろ.い,9
悌,2381,respect for elders,,テイ; ダイ,,10,N1
澪,2382,canal,,レイ,みお,16,N1
洸,2383,glistening,,コウ,,9,N1
滉,2384,bounding main,,コウ,ひろ.い,13,N1
漱,2385,gargle,,ソウ; シュウ; ス,くちすす.ぐ; くちそそ.ぐ; うがい; すす.ぐ,14,N1
洲,2386,continent,,シュウ; ス,しま,9,N1
洵,2387,swirling waters,,ジュン; シュン,の.ぶ; まこと.に,9,N1
滲,2388,seep,,シン,し.みる; にじ.む,14
洒,2389,rinse,,シャ; ソン; サイ; セン; セイ,すす.ぐ; あら.う,9
沐,2390,douse,,モク,もく.する; あら.う,7
泪,2391,teardrops,,ルイ; レイ,なみだ,8
渾,2392,gushing,,コン,すべ.て; にご.る,12
涜,2393,blaspheme,,トク; トウ,けが.す; けが.れ; みぞ,10
梁,2394,roofbeam,,リョウ,はり; うつばり; うちばり; やな; はし,11
澱,2395,sediment,,デン; テン,おり; ど.ろ; よど.み; よど.む,16
洛,2396,old Kyoto,,ラク,,9
汝,2397,thou,,ジョ,なんじ; なれ; い; うぬ; いまし; し; しゃ; な; なむち; まし; みまし,6
漉,2398,filter,,ロク,こ.し; こ.す; す.く,14
瀕,2399,on the verge of,,ヒン,ほとり,20
濠,2400,moat,,ゴウ; コウ,ほり,17
溌,2401,spray,,ハツ,も.る; とびち.る; そそ.ぐ,12
湊,2402,port,,ソウ,みなと; あつ.まる,12
淋,2403,solitude,,リン,さび.しい; さみ.しい,11
浩,2404,abounding,,コウ,おおき.い; ひろ.い,10,N1
汀,2405,water’s edge,,テイ,みぎわ; なぎさ,5
鴻,2406,large goose,,コウ; ゴウ,おおとり; ひしくい; おおがり,17,N1
潅,2407,souse,,カン,そそ.ぐ,14
溢,2408,brimming,,イツ,こぼ.れる; あふ.れる; み.ちる,13
湛,2409,inundate,,タン; チン; ジン; セン,しず.む; たた.える,12
淳,2410,immaculate,,ジュン; シュン,あつ.い,11,N1
渥,2411,moisten,,アク,あつ.い; うるお.う,12,N1
灘,2412,rough seas,,タン; ダン,なだ; せ,21
汲,2413,draw water,,キュウ,く.む,7
瀞,2414,river pool,,セイ; ショウ; ジュウ,とろ; きよ.い,17
溜,2415,cumulation,,リュウ,た.まる; たま.る; た.める; したた.る; たまり; ため,13
渕,2416,abyss,,エン; カク; コウ,ふち; かた.い; はなわ,11
沌,2417,chaos,,トン,くら.い,7
濾,2418,strainer,,ロ; リョ,こ.す,18
濡,2419,drench,,ジュ; ニュ,ぬれ.る; ぬら.す; ぬ.れる; ぬ.らす; うるお.い; うるお.う; うるお.す,17
淀,2420,eddy,,テン; デン,よど.む,11
涅,2421,black soil,,ネツ; デツ,そ.める,10
斧,2422,hatchet,,フ,おの,8
爺,2423,grandpa,,ヤ,じい; じじい; おやじ; じじ; ちち,13
猾,2424,sly,,カツ,わるがしこ.い,13
猥,2425,indecent,,ワイ,みだ.ら; みだり.に,12
狡,2426,cunning,,コウ; キョウ,ずる.い; こす.い; わるがしこ.い,9
狸,2427,racoon dog,,リ; ライ,たぬき,10
狼,2428,wolf,,ロウ,おおかみ,10
狽,2429,flustered,,ケン; バイ; ハイ,,10
狗,2430,pup,,ク; コウ,いぬ,8
狐,2431,fox,,コ,きつね,9
狛,2432,a-un,,ハク,こま,8
獅,2433,lion,,シ,しし,13
狒,2434,baboon,,ヒ,ひひ,8
莨,2435,tobacco,,ロウ,たばこ,10
茉,2436,jasmine,,マツ; バツ; マ,,8,N1
莉,2437,hawthorn,,リ; ライ; レイ,,10,N1
苺,2438,strawberry,,バイ; マイ,いちご,8
萩,2439,bush clover,,シュウ,はぎ,12,N1
藝,2440,technique (old),,ゲイ; ウン,う.える; のり; わざ,18
薙,2441,trim,,テイ; チ,な.ぐ; なぎ; か.る,16
蓑,2442,straw raincoat,,サ; サイ,みの,13
苔,2443,moss,,タイ,こけ; こけら,8
蕩,2444,prodigal,,トウ,とろ.かす; とろ.ける; うご.く,15
蔓,2445,tendril,,マン; バン,はびこ.る; つる,14
蓮,2446,lotus,,レン,はす; はちす,13,N1
芙,2447,lotus flower,,フ,,7,N1
蓉,2448,lotus blossom,,ヨウ,,13,N1
蘭,2449,orchid,,ラン; ラ,,19,N1
芦,2450,hollow reed,,ロ,あし; よし,7
薯,2451,yam,,ショ,いも,16
菖,2452,iris,,ショウ,,11,N1
蕉,2453,banana,,ショウ,,15,N1
