kanji,frame,key word,components,on_reading,kun_reading,stroke_count,jlpt
潮,152,tide,water; water droplets; water pistol; morning; mist; ten; needle; early; sun; day; moon; month; flesh; part of the body,チョウ,しお; うしお,15,N1
源,153,source,water; water droplets; water pistol; meadow; cliff; sun; day; small; little,ゲン,みなもと,13,N1
活,154,lively,water; water droplets; water pistol; tongue; drop; old; tombstone; gravestone; church; ten; needle; mouth,カツ,い.きる; い.かす; い.ける,9,N3
消,155,extinguish,water; water droplets; water pistol; resemblance; spark; candle; small; little; moon; month; flesh; part of the body,ショウ,き.える; け.す,10,N3
況,156,but of course,water; water droplets; water pistol; elder brother; teenager; mouth; human legs,キョウ,まし.て; いわ.んや; おもむき,8,N2
河,157,river,water; water droplets; water pistol; can; street; nail; spike; mouth,カ,かわ,8,N2
泊,158,overnight,water; water droplets; water pistol; white; dove,ハク,と.まる; と.める,8,N2
湖,159,lake,water; water droplets; water pistol; uncivilized; zombie; old; tombstone; gravestone; church; ten; needle; mouth; moon; month; flesh; part of the body,コ,みずうみ,12,N2
測,160,fathom,water; water droplets; water pistol; rule; shellfish; clam; oyster; eye; animal legs; eight; sword; sabre; saber,ソク,はか.る,12,N2
土,161,soil,dirt; ground,ド; ト,つち,3,N5
吐,162,spit,mouth; soil; dirt; ground,ト,は.く; つ.く,6,N1
圧,163,pressure,cliff; soil; dirt; ground,アツ; エン; オウ,お.す; へ.す; おさ.える; お.さえる,5,N2
埼,164,cape,soil; dirt; ground; strange; large; St. Bernard; street; nail; spike; mouth,キ,さき; さい; みさき,11
垣,165,hedge,soil; dirt; ground; span; one; ceiling; sun; day; one; floor; one,エン,かき,9,N1
填,166,inlay,,,,13
圭,167,squared jewel,square jewel; ivy; soil; dirt; ground,ケイ; ケ,,6,N1
封,168,seal,ivy; square jewel; soil; dirt; ground; glue,フウ; ホウ,,9,N2
涯,169,horizon,water; water droplets; water pistol; cliff; ivy; square jewel; soil; dirt; ground,ガイ,はて,11,N1
寺,170,Buddhist temple,buddhist temple; soil; dirt; ground; glue,ジ,てら,6,N2
時,171,time,sun; day; Buddhist temple; soil; dirt; ground; glue,ジ,とき; -どき,10,N5
均,172,level,soil; dirt; ground; ladle; drop,キン,なら.す,7,N2
火,173,fire,,カ,ひ; -び; ほ-,4,N5
炎,174,inflammation,fire,エン,ほのお,8,N1
煩,175,anxiety,fire; head; page; one; ceiling; drop; shellfish; clam; oyster; eye; animal legs; eight,ハン; ボン,わずら.う; わずら.わす,13,N1
淡,176,thin,water; water droplets; water pistol; inflammation; fire,タン,あわ.い,11,N1
灯,177,lamp,fire; street; nail; spike,トウ,ひ; ほ-; ともしび; とも.す; あかり,6,N2
畑,178,farm,fire; rice field; brains,,はた; はたけ; -ばたけ,9
災,179,disaster,stream; flood; fire,サイ,わざわ.い,7,N1
灰,180,ashes,cliff; fire,カイ,はい,6,N2
点,181,spot,fortune-telling; magic wand; augury; mouth; oven-fire; barbecue,テン,つ.ける; つ.く; た.てる; さ.す; とぼ.す; とも.す; ぼち,9,N3
照,182,illuminate,shining; sun; day; summon; seduce; sword; dagger; mouth; oven-fire; barbecue,ショウ,て.る; て.らす; て.れる,13,N2
魚,183,fish,bound up; rice field; brains; oven-fire; barbecue,ギョ,うお; さかな; -ざかな,11,N4
漁,184,fishing,water; water droplets; water pistol; fish; bound up; rice field; brains; oven-fire; barbecue,ギョ; リョウ,あさ.る,14,N2
里,185,ri,computer; rice field; brains; soil; dirt; ground,リ,さと,7
黒,186,black,computer; oven-fire; barbecue,コク,くろ; くろ.ずむ; くろ.い,11,N4
墨,187,black ink,black; computer; oven-fire; barbecue,ボク,すみ,14,N1
鯉,188,carp,fish; bound up; rice field; brains; oven-fire; barbecue; computer,リ,こい,18,N1
量,189,quantity,nightbreak; sun; day; one; floor; computer,リョウ,はか.る,12,N2
厘,190,rin,cliff; computer,リン,,9,N1
埋,191,bury,soil; dirt; ground; computer,マイ,う.める; う.まる; う.もれる; うず.める; うず.まる; い.ける,10,N2
同,192,same,monks; hood; one; mouth,ドウ,おな.じ,6,N4
洞,193,den,water; water droplets; water pistol; same; monks; hood; one; mouth,ドウ,ほら,9,N1
胴,194,trunk,moon; month; flesh; part of the body; same; monks; hood; one; mouth,ドウ,,10,N1
向,195,yonder,alien; drop; helmet; hood; mouth,コウ,む.く; む.い; -む.き; む.ける; -む.け; む.かう; む.かい; む.こう; む.こう-; むこ; むか.い,6,N3
尚,196,esteem,small; little; alien; glass canopy; hood; mouth,ショウ,なお,8,N1
字,197,character,house; child,ジ,あざ; あざな; -な,6,N4
守,198,guard,house; glue,シュ; ス,まも.る; まも.り; もり; -もり; かみ,6,N3
完,199,perfect,house; beginning; two; human legs,カン,,7,N3
宣,200,proclaim,house; span; one; ceiling; sun; day; one; floor; one,セン,のたま.う; のたま.わく,9,N1
宵,201,wee hours,house; resemblance; spark; candle; small; little; moon; month; flesh; part of the body,ショウ,よい,10,N1
安,202,relax,house; woman,アン,やす.い; やす.まる; やす; やす.らか,6,N4
宴,203,banquet,relax; house; sun; day; tongue wagging; woman,エン,うたげ,10,N1
